D2D DISTANCES
MS1 name 	MS2 name 	Distance
MS1 	 	 MS51 	 	826.40
MS2 	 	 MS52 	 	684.26
MS3 	 	 MS53 	 	22.24
MS4 	 	 MS54 	 	160.54
MS5 	 	 MS55 	 	165.11
MS6 	 	 MS56 	 	250.67
MS7 	 	 MS57 	 	163.34
MS8 	 	 MS58 	 	670.62
MS9 	 	 MS59 	 	861.51
MS10 	 	 MS60 	 	411.95
MS11 	 	 MS61 	 	133.47
MS12 	 	 MS62 	 	195.38
MS13 	 	 MS63 	 	493.13
MS14 	 	 MS64 	 	752.79
MS15 	 	 MS65 	 	766.86
MS16 	 	 MS66 	 	741.35
MS17 	 	 MS67 	 	114.94
MS18 	 	 MS68 	 	809.47
MS19 	 	 MS69 	 	550.30
MS20 	 	 MS70 	 	730.89
MS21 	 	 MS71 	 	227.52
MS22 	 	 MS72 	 	409.14
MS23 	 	 MS73 	 	178.88
MS24 	 	 MS74 	 	505.70
MS25 	 	 MS75 	 	503.88
MS26 	 	 MS76 	 	747.53
MS27 	 	 MS77 	 	598.39
MS28 	 	 MS78 	 	806.07
MS29 	 	 MS79 	 	530.55
MS30 	 	 MS80 	 	810.52
MS31 	 	 MS81 	 	436.36
MS32 	 	 MS82 	 	463.08
MS33 	 	 MS83 	 	612.04
MS34 	 	 MS84 	 	526.12
MS35 	 	 MS85 	 	369.70
MS36 	 	 MS86 	 	442.32
MS37 	 	 MS87 	 	242.48
MS38 	 	 MS88 	 	476.74
MS39 	 	 MS89 	 	603.77
MS40 	 	 MS90 	 	269.55
MS41 	 	 MS91 	 	314.63
MS42 	 	 MS92 	 	250.18
MS43 	 	 MS93 	 	807.96
MS44 	 	 MS94 	 	720.38
MS45 	 	 MS95 	 	304.50
MS46 	 	 MS96 	 	52.01
MS47 	 	 MS97 	 	162.02
MS48 	 	 MS98 	 	104.19
MS49 	 	 MS99 	 	126.01
MS50 	 	 MS100 	 	555.11
--------------------------------

D2D PATH LOSSES
MS1 name 	MS2 name 	PL
MS1 	 	 MS51 	 	137.30
MS2 	 	 MS52 	 	134.43
MS3 	 	 MS53 	 	82.35
MS4 	 	 MS54 	 	112.40
MS5 	 	 MS55 	 	112.82
MS6 	 	 MS56 	 	119.17
MS7 	 	 MS57 	 	112.66
MS8 	 	 MS58 	 	134.13
MS9 	 	 MS59 	 	137.93
MS10 	 	 MS60 	 	126.72
MS11 	 	 MS61 	 	109.59
MS12 	 	 MS62 	 	115.38
MS13 	 	 MS63 	 	129.45
MS14 	 	 MS64 	 	135.88
MS15 	 	 MS65 	 	136.17
MS16 	 	 MS66 	 	135.65
MS17 	 	 MS67 	 	107.32
MS18 	 	 MS68 	 	136.99
MS19 	 	 MS69 	 	131.12
MS20 	 	 MS70 	 	135.43
MS21 	 	 MS71 	 	117.70
MS22 	 	 MS72 	 	126.62
MS23 	 	 MS73 	 	114.04
MS24 	 	 MS74 	 	129.84
MS25 	 	 MS75 	 	129.78
MS26 	 	 MS76 	 	135.78
MS27 	 	 MS77 	 	132.39
MS28 	 	 MS78 	 	136.92
MS29 	 	 MS79 	 	130.57
MS30 	 	 MS80 	 	137.01
MS31 	 	 MS81 	 	127.59
MS32 	 	 MS82 	 	128.50
MS33 	 	 MS83 	 	132.74
MS34 	 	 MS84 	 	130.44
MS35 	 	 MS85 	 	125.07
MS36 	 	 MS86 	 	127.80
MS37 	 	 MS87 	 	118.66
MS38 	 	 MS88 	 	128.94
MS39 	 	 MS89 	 	132.53
MS40 	 	 MS90 	 	120.27
MS41 	 	 MS91 	 	122.62
MS42 	 	 MS92 	 	119.14
MS43 	 	 MS93 	 	136.96
MS44 	 	 MS94 	 	135.21
MS45 	 	 MS95 	 	122.13
MS46 	 	 MS96 	 	95.26
MS47 	 	 MS97 	 	112.53
MS48 	 	 MS98 	 	105.82
MS49 	 	 MS99 	 	108.71
MS50 	 	 MS100 	 	131.25
--------------------------------

D2D RSS
MS1 name 	MS2 name 	RSS
MS1 	 	 MS51 	 	-114.30
MS2 	 	 MS52 	 	-111.43
MS3 	 	 MS53 	 	-59.35
MS4 	 	 MS54 	 	-89.40
MS5 	 	 MS55 	 	-89.82
MS6 	 	 MS56 	 	-96.17
MS7 	 	 MS57 	 	-89.66
MS8 	 	 MS58 	 	-111.13
MS9 	 	 MS59 	 	-114.93
MS10 	 	 MS60 	 	-103.72
MS11 	 	 MS61 	 	-86.59
MS12 	 	 MS62 	 	-92.38
MS13 	 	 MS63 	 	-106.45
MS14 	 	 MS64 	 	-112.88
MS15 	 	 MS65 	 	-113.17
MS16 	 	 MS66 	 	-112.65
MS17 	 	 MS67 	 	-84.32
MS18 	 	 MS68 	 	-113.99
MS19 	 	 MS69 	 	-108.12
MS20 	 	 MS70 	 	-112.43
MS21 	 	 MS71 	 	-94.70
MS22 	 	 MS72 	 	-103.62
